sequence,image_id,category,script_pages,page_sort,archive,catalog_id,title_caption,source_url,keywords,downloaded,in_lightroom,metadata_attached
358,hln000440,"Maps, Newspapers & Documents",,9999,UNLV Special Collections,hln000440,"Photograph of swimmers at Lorenzi Park pool, circa 1931 [Elton and Madelaine Garrett Photograph and Architectural Drawing Collection (PH-00265)]",http://n2t.net/ark:/62930/d16q1wg68,Water; Pool; Diving Board,Yes,Yes,
359,churchseries22_2835,"Maps, Newspapers & Documents",,9999,Unidentified (needs repository verification),churchseries22_2835,"Hand-tinted postcard No. 5010, ""Mill Street, Reno, Nevada."" Street scene, early 1900s-1910s. Filename suggests UNR Special Collections (James Edward Church Papers, Series 22) but source page unconfirmed (site requires captcha) -- also note: depicts Reno, not Las Vegas",,,Yes,Yes,Yes
360,"Pile of lumber by RR tracks, cheat:close ups",Mining,,9999,,"Pile of lumber by RR tracks, cheat:close ups","Reno Mill and Lumber Company, Eveleth",,,,,
361,Reno Mill and Lumber Company,Mining,,9999,,Reno Mill and Lumber Company,Reno Mill and Lumber Company,,,,Yes,
362,CHS-20325,Mining,,9999,California Historical Society / USC Digital Library,CHS-20325,"View of the Chollar mine dump in Gold Hill, Nevada, ca. 1900 (re-downloaded at higher resolution, 1200x964)",https://digitallibrary.usc.edu/asset-management/2A3BF14KCN8?FR_=1&W=1092&H=597,,Yes,Yes,Yes
363,pho018545,Mining,,9999,UNLV Special Collections,pho018545,Miners/people (1908-10-11),https://special.library.unlv.edu/ark:/62930/d1g73774q,,,Yes,
364,pho023877,Mining,,9999,UNLV Special Collections,pho023877,"Photograph of mine tailings, Pioche (Nev.), early 1900s [John Janney Photograph Collection on Pioche, Nevada]",https://special.library.unlv.edu/ark:/62930/d17s7hz68,,Yes,Yes,Yes
365,pho023878,Mining,,9999,UNLV Special Collections,pho023878,"Photograph of mines, Pioche (Nev.), early 1900s [John Janney Photograph Collection on Pioche, Nevada]",https://special.library.unlv.edu/ark:/62930/d1445hj55,,Yes,Yes,Yes
366,pho023880,Mining,,9999,UNLV Special Collections,pho023880,"Photograph of hillside mines, Pioche (Nev.), early 1900s [John Janney Photograph Collection on Pioche, Nevada]",https://special.library.unlv.edu/ark:/62930/d1vm4336t,,Yes,Yes,
367,pho023879,Mining,,9999,UNLV Special Collections,pho023879,"Photograph of mines, Pioche (Nev.), early 1900s [John Janney Photograph Collection on Pioche, Nevada]",https://special.library.unlv.edu/ark:/62930/d10c4sr2h,,Yes,Yes,Yes
368,pho023882,Mining,,9999,UNLV Special Collections,pho023882,"Photograph of a mill, Pioche (Nev.), early 1900s [John Janney Photograph Collection on Pioche, Nevada]",https://special.library.unlv.edu/ark:/62930/d1m32ng68,,Yes,Yes,Yes
369,pho014113,Mining,,9999,UNLV Special Collections,pho014113,Miners/People (Pho014113-002),,,,,
370,2016860954,People & Crowds,,9999,Library of Congress,2016860954,"Tasker Oddie, Senator, portrait",https://lccn.loc.gov/2016860954,,Yes,Yes,Yes
