archive,catalog_id,title_caption,source_url,topic,script_pages,downloaded,in_lightroom,metadata_attached,archive_filename,keywords
Alamy,2M18K9B,"Drainage ditches - Southborough, Mass., 1899",https://www.alamy.com/sudbury-department-angellico-swamp-drainage-ditches-junction-of-a-and-c-lines-southborough-mass-dec-7-1899-waterworks-reservoirs-water-distribution-structures-swamps-construction-sites-watershed-sanitary-improvement-image499906103.html,,P.49-51,Yes,Yes,Yes,,
New York Public Library,1583588,"Outhouses, 1902",https://digitalcollections.nypl.org/items/106ecd60-c6e9-012f-8823-58d385a7bc34,,P.49-51,,Yes,,,"Outhouses / Privies; New York City, NY"
New York Public Library,1583589,"Outhouses, 1902",https://digitalcollections.nypl.org/items/1150ac60-c6e9-012f-af26-58d385a7bc34,,P.49-51,,Yes,,,"Outhouses / Privies; New York City, NY"
New York Public Library,1583597,"Outhouses, 1902",https://digitalcollections.nypl.org/items/13f071b0-c6e9-012f-bdf5-58d385a7bc34,,P.49-51,Yes,Yes,,,"Outhouses / Privies; New York City, NY"
New York Public Library,1576447,"Outhouses, 1902",https://digitalcollections.nypl.org/items/14967590-c6e9-012f-83e9-58d385a7bc34,,P.49-51,Yes,Yes,,,"Outhouses / Privies; New York City, NY"
New York Public Library,58647476,Outhouses (TIF format available),https://digitalcollections.nypl.org/items/b33b8580-b977-0138-427d-3ff929dd87e1,,P.49-51,Yes,Yes,,,"Outhouses / Privies; New York City, NY"
UNLV Special Collections,pho012947,"Photograph of saloon fire, Caliente, Nevada, 1910 [Elbert Edwards Photograph Collection (PH-00214)]",http://n2t.net/ark:/62930/d1mk6596k,,P.51-54,Yes,Yes,Yes,,
UNLV Special Collections,snv000210,"Photograph of Goldfield Hotel fire (Nev.), November 17, 1906 [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d1z31p29g,,P.51-54,Yes,Yes,Yes,,
UNLV Special Collections,snv000320,"Photograph of the Goldfield Hotel fire, Goldfield (Nev.), November 17, 1906 [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d16688z6k,,P.51-54,Yes,Yes,Yes,,
UNLV Special Collections,pho028388,"Possible Goldfield fire ruins: photographic print [C. A. Earle Rinker Photograph Collection of Goldfield, Nevada (PH-00350)]",http://n2t.net/ark:/62930/d1bv7b54j,,P.51-54,Yes,Yes,Yes,,
Alamy,M7WDBN,Horse wagons full of garbage - Dump story,https://www.alamy.com/stock-photo-the-image-titled-dump-story-appears-to-depict-a-scene-possibly-involving-176965593.html,,P.51,Yes,Yes,,,Horses
UNLV Special Collections,snv001993,Fire in the desert (garbage-pit) (1900 to 1925),https://special.library.unlv.edu/ark:/62930/d12v2cq76,"Fires (ice plant 1907, general)",P.51,Yes,Yes,Yes,,
Alamy,2RGMMJ1,"Interior grocery store (DGS Store, Wash DC, ca. 1910s)",https://www.alamy.com/interior-of-dgs-store-wash-dc-ca-1910s-image561021497.html,,P.55,Yes,Yes,,,Grocery Store; Building Interior
UNLV Special Collections,pho016723,Mesquite grocery and other shops,https://special.library.unlv.edu/ark%3A/62930/d16d5pf1b,,P.55,Yes,Yes,Yes,,"Grocery Store; Mesquite, NV"
UNLV Special Collections (not digitized),,"Ward's Mesquite Cash Grocery Store, 1908 (calendar image) - NOT DIGITIZED",https://special.library.unlv.edu/node/309947,,P.55,,,,,
UNLV Special Collections,pho014206,"Photograph of early Las Vegas stores, Las Vegas, circa 1900s [Sherwin ""Scoop"" Garside Photographs (PH-00067)]",http://n2t.net/ark:/62930/d1n58cn9x,,P.56-61,Yes,Yes,Yes,,
Bartlesville Area History Museum,,"Fire Department honor guard, Bartlesville OK",https://www.cityofbartlesville.org/fire-department-launches-honor-guard-marks-112-years-service/,,P.56-61,,,,,
Nevada Historical Society,CC-00324,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/D655425C-6567-42AC-857F-461836246857,,P.56-61,Yes,Yes,Yes,,"Fire; Fire Department; Carson City, NV"
Nevada Historical Society,CC-00323,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/A6CFEA42-32E1-4A6D-A655-810133204835,,P.56-61,Yes,Yes,Yes,,
Nevada Historical Society,CC-00802,"Fire Department, Carson City, 1890s",https://nevadahistory.pastperfectonline.com/photo/A43CF197-32FF-4384-BB2A-307042705340,,P.56-61,Yes,Yes,Yes,,"Fire; Fire Department; Carson City, NV"
State Historical Society of Missouri,S1083_1090,"St. Charles Fire Department Hose Company Number One Wagon, St. Charles, Missouri, 1909 [John J. Buse Collection, S1083] -- period fire-equipment reference, not Nevada",https://digital.shsmo.org/digital/collection/imc/id/35589,,P.56-61,Yes,Yes,Yes,,"Fire; Fire Wagon; St. Louis, MO"
UNLV Special Collections,pho032884,Fire truck (1910 (approx) to 1945 (approx)),https://special.library.unlv.edu/ark:/62930/d1445hr2d,"Overland Hotel fire, May 1911","P.56-61, P.163-171",Yes,Yes,Yes,,
State Historical Society of Missouri,P0034-3138,"Hose #4, St. Louis Fire Department fire engine (Photographer: Vic Stevenson) [Charles Trefts Photographs, Collection P0034] -- period fire-equipment reference, not Nevada",https://digital.shsmo.org/digital/collection/imc/id/24082,,P.56-61,Yes,Yes,Yes,,Firemen
UNLV Special Collections,pho025987,Methodist Church (curfew bell reference),http://n2t.net/ark:/62930/d1mw2cc2m,,P.58-59,Yes,Yes,Yes,,
UNLV Special Collections,pho028106,"First grammar school, 1905-10",https://special.library.unlv.edu/ark%3A/62930/d16d5pk14,,P.58-59,Yes,Yes,,,Grammar School; Schoolchildren
UNLV Special Collections,pho025881,"School class, 1915",https://special.library.unlv.edu/ark%3A/62930/d16t0kt56,,P.58-59,Yes,Yes,,,School Class; Schoolchildren
UNLV Special Collections,snv001117,"Las Vegas School, 1910, kids and teachers outside",https://special.library.unlv.edu/ark%3A/62930/d1g44j48c,,P.58-59,Yes,Yes,Yes,,"Schoolchildren; Las Vegas, NV"
UNLV Special Collections,pho013444,"Photograph of a wagon hauling freight in Eldorado Canyon, circa 1911-1915 [Elbert Edwards Photograph Collection]",https://special.library.unlv.edu/ark:/62930/d1j678z5t,Ed Clark / mining-town boom / Lincoln County,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",Yes,Yes,Yes,,
UNLV Special Collections,snv001959,"Photograph of a horse team and freight wagons on a dirt road in the desert, 1900-1925, Las Vegas [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1bg2hq9h,,P.58 — New WorkFlow (wagons on desert road),Yes,Yes,Yes,,
UNLV Special Collections,snv001260,"Photograph of men in a horse-drawn wagon in front of the Eldorado Canyon boarding house and mill, Eldorado Canyon (Nev.), 1907 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1zw19647,,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",Yes,Yes,Yes,,
UNLV Special Collections,snv001968,"Photograph of a wagon and horse team on a narrow mountain road, Eldorado Canyon (Nev.), 1900-1925 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d15q4s142,,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",Yes,Yes,Yes,,
UNLV Special Collections,snv001161,"Photograph of a wagon approaching the Narrows at Eldorado Canyon (Nev.), 1907 [Ferron and Bracken Photograph Collection]",http://n2t.net/ark:/62930/d1z02zp6r,,"P.58 — New WorkFlow (wagons, Eldorado Canyon)",Yes,Yes,Yes,,
USC Digital Library,CHS-5553,Curfew bell (1907 laws),https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61I5OBW&PN=2&DocRID=2A3BF1C66CC,,P.58-59,Yes,Yes,Yes,,bell; mount; riverside; mountain; rubidoux
UNLV Special Collections,pho014468,"People in automobiles, Las Vegas, circa 1910s-1920s",https://special.library.unlv.edu/ark:/62930/d17p8tg24,Automobiles,P.58,Yes,Yes,Yes,,
UNLV Special Collections,pho016809,"Side view of the 1910 Oldsmobile Limited for the automobile business in Las Vegas, Nevada [James Cashman Sr. Photograph Collection]",http://n2t.net/ark:/62930/d13775z4d,,"P.58 — New WorkFlow (early automobile, exact place/year match)",Yes,Yes,Yes,,
UNLV Special Collections,pho023809,"Automobile excursion, Goodsprings NV, 1910s (Chamber of Commerce Excursion)",https://special.library.unlv.edu/ark:/62930/d11n7xt09,,P.58,Yes,Yes,Yes,,
UNLV Special Collections,snv002526,"Photograph of Fremont Street, buildings, and automobiles, Las Vegas (Nev.), 1900-1925 [Jacob E. Von Tobel Photograph Collection]",http://n2t.net/ark:/62930/d1br8mw8j,,"P.58 — New WorkFlow (Fremont St, automobiles, 1920s)",Yes,Yes,Yes,,
UNLV Special Collections,pho021796,"Photograph of Main Street, Las Vegas (Nev.), 1908-1912 [Junior League of Las Vegas Photograph Collection]",http://n2t.net/ark:/62930/d1fq9q99m,,"P.58 — New WorkFlow (Main St, 1908-1912)",Yes,Yes,Yes,,
UNLV Special Collections,pho008436,"Photograph of Fremont Street, Las Vegas, Nevada, circa 1912-1919 [Bill Willard Photograph Collection]",http://n2t.net/ark:/62930/d14x54h2n,,"P.58 — New WorkFlow (Fremont St, 1912-1919)",Yes,Yes,Yes,,
UNLV Special Collections,hln001314,Bracken in office (1908-05),https://special.library.unlv.edu/ark:/62930/d1r788q1b,1911 incorporation campaign / respectable town,P.66 — New WorkFlow (tax-paying symbol / office desk),Yes,Yes,Yes,,
UNLV Special Collections,pho013039,"Interior view of the County Clerk's office in Las Vegas, Nevada, 1914-1916 [Elbert Edwards Photograph Collection]",http://n2t.net/ark:/62930/d1qz22j94,,"P.66 — New WorkFlow (tax-paying symbol, office interior)",Yes,Yes,Yes,,
